shoulder_yaw,shoulder_pitch,elbow_pitch,elbow_roll,wrist_pitch,wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp,Timestep,Euler Y,Euler Z,Euler X,Euler X no wrap
0.0049,-1.44462,1.91076,-1.98093,0.42736,-1.99757,0.61047,-0.07004,0.16733,0.86867,-0.11247,-0.20689,0.43585,1715138785,8.678181818,-0.475212679,0.015053099,-4.075322039,2.207863268
-0.00059,-1.45408,1.90579,-2.02268,0.44877,-2.0476,0.60974,-0.07518,0.18078,0.84891,-0.11932,-0.19805,0.47528,1715138785,8.88,-0.466451901,0.01432596,-4.165775886,2.117409421
0.00051,-1.46908,1.88704,-2.08761,0.48405,-2.1227,0.61008,-0.07701,0.20887,0.8165,-0.13163,-0.17732,0.53345,1715138786,9.081818182,-0.444645798,0.025771677,-4.304854511,1.978330796
0.00259,-1.4769,1.87219,-2.12855,0.50303,-2.17082,0.61063,-0.07645,0.22723,0.7941,-0.1389,-0.16362,0.56863,1715138786,9.283636364,-0.431326382,0.034529374,-4.392015699,1.891169608
0.00734,-1.483,1.86194,-2.16288,0.52042,-2.2126,0.61073,-0.07413,0.24139,0.77342,-0.14447,-0.15253,0.59807,1715138786,9.485454545,-0.421455409,0.041036125,-4.466840427,1.816344881
0.01902,-1.48966,1.85001,-2.21027,0.54041,-2.26786,0.61118,-0.0669,0.25823,0.74424,-0.14842,-0.13706,0.63663,1715138786,9.687272727,-0.40433803,0.046423633,-4.56636213,1.716823177
0.02867,-1.49445,1.83399,-2.24897,0.56179,-2.311,0.61143,-0.06131,0.27601,0.71954,-0.15709,-0.12214,0.66533,1715138787,9.889090909,-0.395839353,0.063581268,-4.646895033,1.636290275
0.04309,-1.49859,1.82149,-2.29115,0.57914,-2.36333,0.61171,-0.05175,0.29113,0.68991,-0.16108,-0.10721,0.69755,1715138787,10.09090909,-0.38293502,0.07275745,-4.737511244,1.545674063
0.06753,-1.5021,1.80956,-2.3498,0.59925,-2.43166,0.61214,-0.0348,0.30712,0.6482,-0.16269,-0.08686,0.7388,1715138787,10.29272727,-0.3620638,0.082660969,-4.857983568,1.425201739
0.08296,-1.50289,1.79241,-2.38706,0.60893,-2.47083,0.61275,-0.02343,0.32157,0.62288,-0.16657,-0.0709,0.76109,1715138787,10.49454545,-0.350724577,0.099748027,-4.929146508,1.354038799
0.10438,-1.5026,1.78329,-2.43319,0.62696,-2.52635,0.61275,-0.00835,0.33242,0.5865,-0.16967,-0.05485,0.79008,1715138787,10.69636364,-0.341139704,0.112588275,-5.025449532,1.257735775
0.12404,-1.50199,1.7741,-2.47359,0.63595,-2.56965,0.61279,0.0064,0.34139,0.55638,-0.17038,-0.03946,0.81231,1715138788,10.89818182,-0.329182906,0.125817147,-5.103021857,1.18016345
0.12996,-1.501,1.77047,-2.48316,0.64002,-2.5819,0.61287,0.01052,0.34412,0.54835,-0.17152,-0.03531,0.81771,1715138788,11.1,-0.327818165,0.130730937,-5.123406472,1.159778836
